SN,tweet_text,polarity
1,How is there the Corona Light,0.4
2,But big m me without a c j is filthy treated myself to drink Corona by Kent and with no collective re my brother,-0.4
3,thank you is good bah va cu an adventure every 2,0.7
4,How to call you friends to the south of France crown corona dels reis kings kingdom reiaume crown corona Bordeaux bordalesa pogne c ca Tortell reis g cake of kings epiphaniepic twitter com l6qy8O1DVC,0.0
5,"Simone Simons Coen Janssen and Th be Corona Montr al January 3, 2020 By Source thomasmphotography thomasmphotography simonesimons epica smoonstyle markjansen isaacdelahaye coenjanssen robvanderloo",0.0
6,At d goal of ann es 90 B atrice love watching videos on MTV that she recorded on VHS fact of modern dance in a bodysuit in turquoise lycra on The Rhythm of the Night Corona and rolls Rollerblade His rst K7 is Patricia Kaas peak twitter com lAQYQ46E4y,0.35
7,In terms of texture pack you also thefrenchmonkey tfmstyle offering you the very texture pack s int esting and render any physical octane fashion Corona,0.1
8,The new ann e tired of hard with the addition of 3 new Maxi Magnets Corona Dragon Ball shop and Pop Art perfectmagnet PerfectDraft DragonBallZ DragonBallSuper CORONA Available d s now on the peak twitter com 8bcfLe1kvL shop,-0.0037878787878788066
9,For me it would be all that is glowing scarlet c is saying the conflict Bronzes of Corona and gods,0.0
10,One can indeed say Sh nen tachi to sign for a group of people but it is not mandatory it seems forced ment Yes saw me shinku could mean the glowing sign as probably either Abel or the Corona Saints,-0.30625
11,Given that it n there is no plural in Japanese scarlet bright red s can be applied to a whole Bronze The Legend of the young people scarlet Seiya alone or more likely to Corona Saints to boiling powers like the sun,0.21428571428571433
12,Good evening I attend Now j costs Black Eyed Peas and J Balvin samplent Corona Thank you for this contest and gift,0.26666666666666666
13,And Corona of water to GoGo,0.0
14,Oh no by moli against the 1 package Good drinks a red or a corona c is the juice,0.35
15,Jumping Jack Chirac faced the eye ink Victor Hugo expos e for the bicentennial of his birth in 2002 Always try to have the click insolent It n not indulge with This has yet harbor luck he baraka drinker Corona peak twitter com ITW7T1AzT1,0.0
16,J plus Corona Alex Telles and Kluivert are too expensive for Lyon Mertens n I m not talking to me must arr ter see our club hyped c is finished this time the,-0.5
17,Jamie Murray murray britishtennis grasscourt backthebrits lta queensclub photosheikh jamiemurray imgtennis peak twitter com pXoclEEC8f at Queen's Club Center Court,-0.1
18,If Danilo is really hurting for the match against Sporting Tell me your eleven Marchesin Corona Pepe Leite These Ot vio Nakajima Diaz Uribe Marega Z Luis Leite will be the surprise,0.2
19,How is there the Corona Light,0.4
20,But big m me without a c j is filthy treated myself to drink Corona by Kent and with no collective re my brother,-0.4
21,thank you is good bah va cu an adventure every 2,0.7
22,How to call you friends to the south of France crown corona dels reis kings kingdom reiaume crown corona Bordeaux bordalesa pogne c ca Tortell reis g cake of kings epiphaniepic twitter com l6qy8O1DVC,0.0
23,"Simone Simons Coen Janssen and Th be Corona Montr al January 3, 2020 By Source thomasmphotography thomasmphotography simonesimons epica smoonstyle markjansen isaacdelahaye coenjanssen robvanderloo",0.0
24,At d goal of ann es 90 B atrice love watching videos on MTV that she recorded on VHS fact of modern dance in a bodysuit in turquoise lycra on The Rhythm of the Night Corona and rolls Rollerblade His rst K7 is Patricia Kaas peak twitter com lAQYQ46E4y,0.35
25,In terms of texture pack you also thefrenchmonkey tfmstyle offering you the very texture pack s int esting and render any physical octane fashion Corona,0.1
26,The new ann e tired of hard with the addition of 3 new Maxi Magnets Corona Dragon Ball shop and Pop Art perfectmagnet PerfectDraft DragonBallZ DragonBallSuper CORONA Available d s now on the peak twitter com 8bcfLe1kvL shop,-0.0037878787878788066
27,For me it would be all that is glowing scarlet c is saying the conflict Bronzes of Corona and gods,0.0
28,One can indeed say Sh nen tachi to sign for a group of people but it is not mandatory it seems forced ment Yes saw me shinku could mean the glowing sign as probably either Abel or the Corona Saints,-0.30625
29,Given that it n there is no plural in Japanese scarlet bright red s can be applied to a whole Bronze The Legend of the young people scarlet Seiya alone or more likely to Corona Saints to boiling powers like the sun,0.21428571428571433
30,Good evening I attend Now j costs Black Eyed Peas and J Balvin samplent Corona Thank you for this contest and gift,0.26666666666666666
31,And Corona of water to GoGo,0.0
32,Oh no by moli against the 1 package Good drinks a red or a corona c is the juice,0.35
33,Jumping Jack Chirac faced the eye ink Victor Hugo expos e for the bicentennial of his birth in 2002 Always try to have the click insolent It n not indulge with This has yet harbor luck he baraka drinker Corona peak twitter com ITW7T1AzT1,0.0
34,J plus Corona Alex Telles and Kluivert are too expensive for Lyon Mertens n I m not talking to me must arr ter see our club hyped c is finished this time the,-0.5
35,Jamie Murray murray britishtennis grasscourt backthebrits lta queensclub photosheikh jamiemurray imgtennis peak twitter com pXoclEEC8f at Queen's Club Center Court,-0.1
36,If Danilo is really hurting for the match against Sporting Tell me your eleven Marchesin Corona Pepe Leite These Ot vio Nakajima Diaz Uribe Marega Z Luis Leite will be the surprise,0.2
37,beer c is not fair on August 6 Kro and Corona eh we can take to the taste and the discovery as wine And like wine c is an alcohol Both can be good both are dangerous to me m doses that are seen as acceptable society t,-0.08333333333333333
38,We take a whole room full of strangers And we make em friends Thanks for letting us get to know your show on September 15th at the Corona Montr al We meet again tonight for the c brate this new friendship peak twitter com YMW8MFufIP,0.2215909090909091
39,Drinking my remaining corona relaxed and good evening quelqie game Innuat,0.14999999999999997
40,Events Mtl amp Jay silent bob reboot Th be in Corona on 4 Feb 20 00 All events are montreal montreal our website jadore com,0.0
41,Superboxingdayrmc when I see the sup riorities Liverpool I told myself what good recruitment may change the face of a team should the ol s inspired by recruiting players such as kluivert tecatito corona Florenzi,0.35
42,Who buy you a karambit bland butterfly and 2bouteilles of alcohol with a pack of Corona in m me time lol combo horn,0.3166666666666667
43,Corona benignitatis New Year this gr,0.13636363636363635
44,Building wooden guy no corona but Molson Dry,-0.033333333333333326
45,The entire team of Corona Direct Assurances holds your c t s to ensure excellent peak ann e twitter com iaYKM5GFOY,0.3666666666666667
